Cigarettes,Rolling tobacco,Small cigar,Medium cigar,Large cigar,Pipe,Cigarillo,Heated tobacco
1,2,1.5,2,4,2.5,2,1
2,1,1.3,1,0.5,0.8,1,2
3,1.5,2,1.5,0.75,1.2,1.5,3
4,2,2.7,2,1,1.6,2,4
5,2.5,3.3,2.5,1.25,2,2.5,5
6,3,4,3,1.5,2.4,3,6
7,3.5,4.7,3.5,1.75,2.8,3.5,7
8,4,5.3,4,2,3.2,4,8
9,4.5,6,4.5,2.25,3.6,4.5,9
10,5,6.7,5,2.5,4,5,10
11,5.5,7.3,5.5,2.75,4.4,5.5,11
12,6,8,6,3,4.8,6,12
13,6.5,8.7,6.5,3.25,5.2,6.5,13
14,7,9.3,7,3.5,5.6,7,14
15,7.5,10,7.5,3.75,6,7.5,15
16,8,10.7,8,4,6.4,8,16
17,8.5,11.3,8.5,4.25,6.8,8.5,17
18,9,12,9,4.5,7.2,9,18
19,9.5,12.7,9.5,4.75,7.6,9.5,19
20,10,13.3,10,5,8,10,20
21,10.5,14,10.5,5.25,8.4,10.5,21
22,11,14.7,11,5.5,8.8,11,22
23,11.5,15.3,11.5,5.75,9.2,11.5,23
24,12,16,12,6,9.6,12,24
25,12.5,16.7,12.5,6.25,10,12.5,25
26,13,17.3,13,6.5,10.4,13,26
27,13.5,18,13.5,6.75,10.8,13.5,27
28,14,18.7,14,7,11.2,14,28
29,14.5,19.3,14.5,7.25,11.6,14.5,29
30,15,20,15,7.5,12,15,30
