Time (mins),Shisha,Chewing tobacco,Dry snuff
Cigarettes / min:,1.25,0.133,0.133
10,12.5,1.33,1.33
15,18.75,1.995,1.995
20,25,2.66,2.66
25,31.25,3.325,3.325
30,37.5,3.99,3.99
35,43.75,4.655,4.655
40,50,5.32,5.32
45,56.25,5.985,5.985
50,62.5,6.65,6.65
55,68.75,7.315,7.315
60,75,7.98,7.98
65,81.25,8.645,8.645
70,87.5,9.31,9.31
75,93.75,9.975,9.975
80,100,10.64,10.64
85,106.25,11.305,11.305
90,112.5,11.97,11.97
95,118.75,12.635,12.635
100,125,13.3,13.3
105,131.25,13.965,13.965
110,137.5,14.63,14.63
115,143.75,15.295,15.295
120,150,15.96,15.96
125,156.25,16.625,16.625
130,162.5,17.29,17.29
135,168.75,17.955,17.955
140,175,18.62,18.62
145,181.25,19.285,19.285
150,187.5,19.95,19.95
155,193.75,20.615,20.615
160,200,21.28,21.28
165,206.25,21.945,21.945
170,212.5,22.61,22.61
175,218.75,23.275,23.275
180,225,23.94,23.94
